Manufacturer,Part Number,MPN,Description
Fagor,8862260,12008147,POSITIONER PORTATOB. G900
Fagor,8867611,12008148,PILOT TUBE BMG9-10
Fagor,8883834,12008149,PIPE TO LEVEL
Fagor,8864959,12008150,EMBELLE. ADHESIVO LF-400M B
Fagor,8845589,12008152,T 90 16
Fagor,8875654,12008153,GAS INLET ELBOW
Fagor,8848339,12008154,CLAMP RACK
Fagor,8899977,12008156,COMPLETE PILOT TUBE BG700
Fagor,8886488,12008157,PILOT TUBE ASSY FG-705
Fagor,8889079,12008158,JEBE CLAMP 6-7
Fagor,8840121,12008161,FIBREGLASS INSULANT 680X380X20
Fagor,8886489,12008164,PILOT TUBE COMPLETE ANT.
Fagor,8837419,12008165,IGNITION PIPE TRIM
Fagor,8886490,12008166,PILOT TUBE POST. COMPLETE
Fagor,8832085,12008169,CLOSURE LATCH 0437-010062
Fagor,8886491,12008170,AXLE
Fagor,8853940,12008171,COND.ENTR. PORT IZQ.920(2008
Fagor,8897199,12008172,PILOT TUBE BMG7-10
Fagor,8872935,12008175,COND. BURN POST COMP
Fagor,8872936,12008177,"Condenser, Burn Compressor, Anterior"
Fagor,8875655,12008178,INSULATING 700X460
Fagor,8899978,12008179,PILOT TUBE ASSY
Fagor,8870305,12008180,PILOT TUBE CG-710/711
Fagor,8856726,12008181,TUB.ENTRA.PILOT.COMP CPG9-05
Fagor,8842861,12008183,LABEL MODEL TS-11 P
Fagor,8875656,12008184,LABEL MODEL TS-14 P
Fagor,8864960,12008189,10 500 NUT GUIDE
Fagor,8867612,12008190,HINGE AXLE
Fagor,8870306,12008191,TUBE PILOT FULL
Fagor,8891749,12008192,SPRING ROTATION AXIS AD
Fagor,8875657,12008194,PIPE COVER
Fagor,8878439,12008195,ADHESIVE ASBER LABP-300B BT
Fagor,8878440,12008197,TUBO PILOTO POST IZQ COM AS
Fagor,8842862,12008198,TABLERO EN9-05
Fagor,8870307,12008199,SEPARATOR FASTENING
Fagor,8872937,12008200,CONDUCTION A BURNER
Fagor,8842863,12008202,INDICATOR (NATURAL GAS)
Fagor,8881096,12008203,INDICATOR (L.P.G.)
Fagor,8837420,12008204,INDICATOR
Fagor,8832086,12008207,TANK COMP. PERN BMG9-10 WITH
Fagor,8845590,12008209,R CUFF 3 / 8 -R1 / 2
Fagor,8897200,12008210,PILOT TUBE EUROSIT CGB-761
Fagor,8845591,12008211,THERMOCOUPLE 1500 (S290 M10X1L
Fagor,8878441,12008212,CASQUILLO DESAGE
Fagor,8899979,12008213,OVEN DOOR JOINT
Fagor,8889080,12008214,COMPLETE INLET
Fagor,8848340,12008215,FTG CONDUCTION.COMPL.BURNER
Fagor,8891750,12008218,ADHESIVE COVER FI
Fagor,8883835,12008219,COUPLING 1/2 PUL
Fagor,8832087,12008220,FAUCET
Fagor,8864961,12008223,TOP GLASS CV6-20 BL
Fagor,8867613,12008224,CMARA DESAGE
Fagor,8881097,12008226,BACK. LEFT TUBE 700 G COMP
Fagor,8878442,12008231,RIGHT BACK TUBE G 700
Fagor,8886492,12008233,MALE-FEMALE ELBOW 1
Fagor,8883836,12008234,LEVEL CAP
Fagor,8891751,12008235,OUTPUT TUBE EUROSIT
Fagor,8883837,12008238,SUPPORT PAELLA
Fagor,8845592,12008240,ROD
Fagor,8837421,12008244,GUIDE HINGE BEAUTIFY G700
Fagor,8848341,12008246,REAR TUBE. COMP LEFTG700
Fagor,8894571,12008247,RIGHT REAR TUBE G700
Fagor,8894572,12008248,CENTRAL TUBE COMP BACK G700
Fagor,8851138,12008249,PORTAINYECTOR
Fagor,8886493,12008250,FULL OVEN PILOT TUBE
Fagor,8848342,12008251,PIPE TO BURNER
Fagor,8834732,12008253,INSULANT 880X450X20
Fagor,8883838,12008254,COVER PACKING VE 101
Fagor,8853941,12008256,CENTRAL POST TUBE COMP G 700
Fagor,8859573,12008257,TUBE BACK CG-720
Fagor,8842864,12008258,CUERPO QUEMADOR 6KW
Fagor,8859574,12008259,PAN HINGE AXIS 700
Fagor,8853942,12008261,CONDUCTION. BURNER COMPLTE. PO
Fagor,8837422,12008262,RODAM 51204 CAGE BALLS
Fagor,8875658,12008264,COND. BURN ANT RIGHT.COMP
Fagor,8848343,12008265,CPG-705 FULL PILOT
Fagor,8889081,12008266,ADHESIVE PLATE
Fagor,8832088,12008267,OVEN PILOT TUBE COM CG-711
Fagor,8832089,12008269,LEADING FTG COMPL.V BURNER
Fagor,8867614,12008270,TUBO PILOTO POST DCHO COM AS
Fagor,8883839,12008271,TUBE TRIM
Fagor,8894573,12008273,THERMOCOUPLE L=850
Fagor,8856727,12008275,REAR TUBE CG-720 COMPL
Fagor,8834733,12008277,CONDUCTION BURNER CG-711 COMP
Fagor,8894574,12008279,OUTPUT DRAIN W / NUTS
Fagor,8889082,12008280,COMPLETE TABLE LIGHT COND
Fagor,8842865,12008281,COND. BURN ANT LEFT.COMP
Fagor,8851139,12008282,FRONTAL COVER
Fagor,8859575,12008283,TUBO PILOTO ANT IZQ COM AS
Fagor,8883840,12008284,CONDUCTION. BURNER ANT. COMPL
Fagor,8897201,12008287,CONDUC. QUEM. COMPL. (F)
Fagor,8881098,12008288,SUPPLEMENT FOR EUROSIT
Fagor,8872938,12008290,ADHESIVE PLATE
Fagor,8891752,12008296,CASQUILLO SUPLEM. QUEMADOR
Fagor,8899980,12008297,COMPLETE BURNERCONDUCTION
Fagor,8856728,12008299,ETIQUETA MODELO AD-21 DD
Fagor,8886494,12008300,TUBO ANTER DCHO COMPL G 700
Fagor,8899981,12008301,INJECCION DE AGUA
Fagor,8856729,12008303,TUERCA 3/4 SNACK
Fagor,8840122,12008308,ELECTRICAL INSTALLATION: BME6-
Fagor,8851140,12008309,"PRESSURE SWITCH 7,50-9,50BAR S"
Fagor,8899982,12008313,TRIM ADHESIVE
Fagor,8886495,12008315,MAIN LINE
Fagor,8883841,12008319,INSULATION ELEMENT
Fagor,8864962,12008321,ELECT MARIE COMPL.BAIN CONTROL
Fagor,8881099,12008324,ADHESIVE TRIM COVER
Fagor,8886496,12008326,DRIVER A BURNER COMPLE
Fagor,8853943,12008332,PIVOT SHAFT FE
Fagor,8881100,12008333,INSULATION 570X400X5
Fagor,8834734,12008335,COND. G600 QUEMAD.FTG SNACK
Fagor,8853944,12008338,CONDUCT A COMPLETE BURNER
Fagor,8886497,12008344,THERMOCOUPLE 1000
Fagor,8859576,12008345,TUBO DESINC. CUBA GA40
Fagor,8878443,12008346,TUBE VALVE COMPL-BURN CGF9
Fagor,8845593,12008347,BARBECUE HANDLE 900 (2008)
Fagor,8867615,12008360,ADHESIVE ASBER LABP-100B BT
Fagor,8859577,12008365,ADHESIVE ASBER LABP-300
Fagor,8889083,12008367,STUD FASTENING
Fagor,8848344,12008368,TAPON ALIVIADERO LAVADO
Fagor,8845594,12008370,AIR REGULATOR POLIDORO
Fagor,8867616,12008371,"Decal/Overlay, AD-21W"
Fagor,8862261,12008372,ADHESIVE COVER FAE-7
Fagor,8875659,12008378,INSULATOR 1455X420X20AL1C VITR
Fagor,8864963,12008384,SPLICE TUBE MINISIT COMP.09
Fagor,8872939,12008385,COACH ADHESIVE COVER
Fagor,8886498,12008391,TOP GLASS CV6-40 BL
Fagor,8862262,12008392,ENTRY MINISIT CG9-41 COMPL
Fagor,8883842,12008394,WIRING KETTLE: MV7-10BM
Fagor,8851141,12008396,HOSE CONNECTION FG SNACK
Fagor,8878444,12008397,COVER COMPLETE PRESSURE
Fagor,8894575,12008398,TRIM ADHESIVE
Fagor,8862263,12008399,FILLING PIPE
Fagor,8891753,12008401,MANGUITO ROSCADO RC 1/2
Fagor,8875660,12008402,COND. SNACK-41 QUEMAD.CG6
Fagor,8834735,12008403,EMPALME ACOPLADOR 20/21
Fagor,8899983,12008404,GRIF-QUEM COND COMPL CGP9-10
Fagor,8878445,12008407,VERTICAL INTER. RETORNO
Fagor,8851142,12008411,FRY-TOP DRAIN PIPE G-750Q
Fagor,8848345,12008412,FAN WASHER D19 MIXER
Fagor,8891754,12008415,CONDENSATION TAP BPT13AX 1/2
Fagor,8867617,12008416,ADHESIVE TRIM FRANSTAL 100 AR
Fagor,8886499,12008417,CONDUCC.SALIDA VALVULA SBG9-
Fagor,8856730,12008422,TUBO PORTA APOYO
Fagor,8894576,12008424,CLOSING COVER
Fagor,8881101,12008426,CABLE INLET SB
Fagor,8842866,12008427,DOMUS LOGO ADHESIVE
Fagor,8862264,12008429,PILOT TUBE
Fagor,8856731,12008436,TUBE WATER INLET
Fagor,8853945,12008445,BODY BURNER 5000 KCAL / H
Fagor,8845595,12008446,INSULATING PLATE
Fagor,8832090,12008447,EMBALAJE COCINAHORNO SNACK
Fagor,8859578,12008448,MINISIT INPUT ASSY CG900
Fagor,8867618,12008455,EMBELLE. ADHESI. FRANSTAL 21
Fagor,8834736,12008456,CLOSE COVER PAN
